VID_ID,DS_CAT,DS_CAT_NAME,FRAME_S1,FRAME_S2,FRAME_AC,SCORE,FRAME_AC_PROMPT,FILENAME
-0kfSotF0V0,0,apple,23,64,33,0.87374747,"a woman is slicing an apple on a cutting board",results/states_0/0874_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,21,64,42,0.96810937,"a woman is slicing an apple on a cutting board",results10/states_0/0968_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,21,64,37,0.97968525,"a woman is slicing an apple on a cutting board",results11/states_0/0980_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,23,66,31,0.9336483,"a woman is slicing an apple on a cutting board",results2/states_0/0934_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,23,66,42,0.96464527,"a woman is slicing an apple on a cutting board",results3/states_0/0965_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,23,64,32,0.69135416,"a woman is slicing an apple on a cutting board",results4/states_0/0691_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,22,66,42,0.9829233,"a woman is slicing an apple on a cutting board",results5/states_0/0983_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,22,64,31,0.8991068,"a woman is slicing an apple on a cutting board",results6/states_0/0899_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,20,65,41,0.5411294,"a woman is slicing an apple on a cutting board",results7/states_0/0541_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,19,69,31,0.85857874,"a woman is slicing an apple on a cutting board",results8/states_0/0859_-0kfSotF0V0.jpg
-0kfSotF0V0,0,apple,23,66,31,0.97525644,"a woman is slicing an apple on a cutting board",results9/states_0/0975_-0kfSotF0V0.jpg
-20-LG5vyig,0,apple,37,250,215,0.83043605,"a woman cutting a child's hair in a salon",results8/states_0/0830_-20-LG5vyig.jpg
-6bNHXgloqo,0,apple,15,278,212,0.8774302,"a person holding a stick in the middle of a field",results2/states_0/0877_-6bNHXgloqo.jpg
-6bNHXgloqo,0,apple,16,278,213,0.9534691,"a person holding a branch of a tree",results3/states_0/0953_-6bNHXgloqo.jpg
-7--fzZE2qk,0,apple,71,618,528,0.89822644,"a man is cutting an apple with a knife",results/states_0/0898_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,71,624,524,0.9832685,"a man is cutting an apple with a knife",results10/states_0/0983_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,71,622,525,0.99368817,"a man is cutting an apple with a knife",results11/states_0/0994_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,71,342,259,0.96931887,"without the hand applied pressure the blade is skipping",results2/states_0/0969_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,71,344,257,0.97600204,"without the hand applied pressure the blade is skipping",results3/states_0/0976_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,83,364,331,0.6114904,"a man is cutting an apple with an electric drill",results4/states_0/0611_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,75,628,328,0.98436296,"a man is cutting an apple with a drill",results5/states_0/0984_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,70,609,528,0.894975,"a man is cutting an apple with a knife",results6/states_0/0895_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,70,345,325,0.746052,"a man is cutting an apple with a power drill",results7/states_0/0746_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,71,627,524,0.9241795,"a man is cutting an apple with a knife",results8/states_0/0924_-7--fzZE2qk.jpg
-7--fzZE2qk,0,apple,71,622,525,0.9796516,"a man is cutting an apple with a knife",results9/states_0/0980_-7--fzZE2qk.jpg
-7h4LMH0D1k,0,apple,37,183,80,0.8551532,"a person is cutting an apple with a knife",results/states_0/0855_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,37,120,80,0.98314506,"a person is cutting an apple with a knife",results10/states_0/0983_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,37,183,83,0.99014854,"a person is cutting an apple with a knife",results11/states_0/0990_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,6,133,83,0.9538116,"a person is cutting an apple with a knife",results2/states_0/0954_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,34,133,83,0.9695965,"a person is cutting an apple with a knife",results3/states_0/0970_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,36,101,80,0.7272032,"a person is cutting an apple with a knife",results4/states_0/0727_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,17,133,83,0.9853463,"a person is cutting an apple with a knife",results5/states_0/0985_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,37,101,80,0.8441263,"a person is cutting an apple with a knife",results6/states_0/0844_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,37,101,80,0.5939541,"a person is cutting an apple with a knife",results7/states_0/0594_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,38,131,70,0.85605526,"a person is cutting an apple with a knife",results8/states_0/0856_-7h4LMH0D1k.jpg
-7h4LMH0D1k,0,apple,37,120,83,0.9832304,"a person is cutting an apple with a knife",results9/states_0/0983_-7h4LMH0D1k.jpg
-GWZIeWi-hw,0,apple,16,98,78,0.80832714,"a woman is cutting an apple with a knife",results/states_0/0808_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,19,92,35,0.9790363,"a woman is slicing an apple on a plate",results11/states_0/0979_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,21,84,27,0.8822467,"a woman is cutting an apple with a knife on a plate",results2/states_0/0882_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,3,84,26,0.9689529,"a woman is cutting an apple on a plate",results3/states_0/0969_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,21,98,34,0.6347623,"a woman is slicing an apple on a plate",results4/states_0/0635_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,3,87,27,0.9804872,"a woman is cutting an apple with a knife on a plate",results5/states_0/0980_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,21,88,77,0.8368454,"a woman is slicing an apple on a plate",results6/states_0/0837_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,16,98,77,0.69262373,"a woman is cutting an apple with a knife",results7/states_0/0693_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,21,84,34,0.8289918,"a woman is slicing an apple on a plate",results8/states_0/0829_-GWZIeWi-hw.jpg
-GWZIeWi-hw,0,apple,17,86,34,0.9565147,"a woman is slicing an apple on a plate",results9/states_0/0957_-GWZIeWi-hw.jpg
-Nne87egoIo,0,apple,65,140,94,0.7988394,"a person cutting an apple on a plate",results/states_0/0799_-Nne87egoIo.jpg
-Nne87egoIo,0,apple,65,140,86,0.9657393,"a person cutting an apple on a plate",results3/states_0/0966_-Nne87egoIo.jpg
-Nne87egoIo,0,apple,65,147,105,0.9148008,"a person is cutting an apple on a plate",results8/states_0/0915_-Nne87egoIo.jpg
-Nne87egoIo,0,apple,65,139,92,0.9778342,"a person slicing an apple on a white plate",results9/states_0/0978_-Nne87egoIo.jpg
-rPgnXQHbhQ,0,apple,9,20,13,0.9679673,"a man cutting an apple on a plate",results10/states_0/0968_-rPgnXQHbhQ.jpg
-rPgnXQHbhQ,0,apple,9,19,14,0.9796168,"a man is cutting an apple with a knife",results11/states_0/0980_-rPgnXQHbhQ.jpg
-vtmXbpQEug,0,apple,20,230,211,0.88987076,"a woman is cutting a child's hair with scissors",results2/states_0/0890_-vtmXbpQEug.jpg
-vtmXbpQEug,0,apple,20,227,207,0.9651572,"a woman cutting a girl's hair with scissors",results5/states_0/0965_-vtmXbpQEug.jpg
-vtmXbpQEug,0,apple,103,236,207,0.8327215,"a woman cutting a girl's hair with scissors",results8/states_0/0833_-vtmXbpQEug.jpg
0CReaNumElw,0,apple,5,99,27,0.95604813,"a red apple peeler on top of a cutting board",results3/states_0/0956_0CReaNumElw.jpg
0CReaNumElw,0,apple,77,130,110,0.7925361,"a person slicing an apple with a knife on a cutting board",results6/states_0/0793_0CReaNumElw.jpg
0CReaNumElw,0,apple,77,130,110,0.6513146,"a person slicing an apple with a knife on a cutting board",results7/states_0/0651_0CReaNumElw.jpg
0CtOOluE0E4,0,apple,7,36,22,0.9546106,"a man in a kitchen with an apple on a table",results10/states_0/0955_0CtOOluE0E4.jpg
0CtOOluE0E4,0,apple,2,36,15,0.9220981,"a man is cutting an apple in a kitchen",results2/states_0/0922_0CtOOluE0E4.jpg
0CtOOluE0E4,0,apple,3,35,22,0.843028,"a man is cutting up a banana in a kitchen",results6/states_0/0843_0CtOOluE0E4.jpg
0CtOOluE0E4,0,apple,2,35,27,0.5517222,"a man is slicing an apple in a kitchen",results7/states_0/0552_0CtOOluE0E4.jpg
0CtOOluE0E4,0,apple,3,36,22,0.9191078,"a man in a kitchen with a banana on a table",results8/states_0/0919_0CtOOluE0E4.jpg
0CtOOluE0E4,0,apple,3,36,22,0.963171,"a man in a kitchen with a banana on a table",results9/states_0/0963_0CtOOluE0E4.jpg
0aOB9ZoLBeg,0,apple,2,31,11,0.8997184,"a person is cutting an apple with a knife",results/states_0/0900_0aOB9ZoLBeg.jpg
0aOB9ZoLBeg,0,apple,0,24,11,0.9789397,"a person is cutting an apple with a knife",results11/states_0/0979_0aOB9ZoLBeg.jpg
0aOB9ZoLBeg,0,apple,1,31,9,0.8647603,"a person cutting an apple with a knife on a green surface",results2/states_0/0865_0aOB9ZoLBeg.jpg
0aOB9ZoLBeg,0,apple,1,24,11,0.94496375,"a person is cutting an apple with a knife",results3/states_0/0945_0aOB9ZoLBeg.jpg
